epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.401,1.48984,1.28363,1.2485,0.85394,0.71152,0.81141,0.4453,1.52484,1.04428,1.29196,0.000664,0.000664,0.000664
2,246.821,1.44345,0.9896,1.22017,0.85979,0.74593,0.84185,0.48534,1.46911,0.96294,1.2689,0.00131749,0.00131749,0.00131749
3,373.871,1.44102,0.96915,1.2295,0.87306,0.76738,0.85653,0.48024,1.47845,0.90066,1.27725,0.00195779,0.00195779,0.00195779
4,488.517,1.41667,0.94276,1.22119,0.86817,0.80621,0.88693,0.50892,1.42477,0.88625,1.25003,0.0019406,0.0019406,0.0019406
5,602.407,1.39382,0.87954,1.20008,0.90981,0.81024,0.90459,0.542,1.37401,0.75324,1.22804,0.0019208,0.0019208,0.0019208
6,717.017,1.37299,0.85126,1.19853,0.89191,0.81663,0.89682,0.53503,1.39262,0.80352,1.24057,0.001901,0.001901,0.001901
7,829.703,1.3523,0.81848,1.17485,0.90646,0.83091,0.91113,0.56289,1.34834,0.75991,1.20002,0.0018812,0.0018812,0.0018812
8,943.597,1.34289,0.79937,1.17285,0.904,0.83413,0.90889,0.55925,1.34575,0.73603,1.20131,0.0018614,0.0018614,0.0018614
9,1058.15,1.32353,0.7771,1.16703,0.9199,0.85615,0.92948,0.57415,1.33994,0.66233,1.20067,0.0018416,0.0018416,0.0018416
10,1171.58,1.31161,0.76051,1.15623,0.92404,0.85139,0.92893,0.56297,1.33421,0.66382,1.19735,0.0018218,0.0018218,0.0018218
11,1285.93,1.30191,0.75068,1.15579,0.92687,0.85331,0.93423,0.58842,1.31565,0.65805,1.18892,0.001802,0.001802,0.001802
12,1400.97,1.2942,0.73765,1.14881,0.92034,0.86338,0.93954,0.57892,1.31745,0.65456,1.18998,0.0017822,0.0017822,0.0017822
13,1515.73,1.29275,0.73667,1.14452,0.91518,0.86937,0.93679,0.58346,1.32721,0.64372,1.18814,0.0017624,0.0017624,0.0017624
14,1629.13,1.2928,0.71704,1.14175,0.92442,0.8623,0.93934,0.58898,1.31537,0.65122,1.18948,0.0017426,0.0017426,0.0017426
15,1742.61,1.27053,0.70443,1.13976,0.9155,0.88419,0.94296,0.59972,1.29152,0.615,1.17302,0.0017228,0.0017228,0.0017228
16,1856.86,1.2834,0.71231,1.14636,0.92187,0.86958,0.93896,0.57912,1.34185,0.6325,1.19427,0.001703,0.001703,0.001703
17,1971.39,1.25268,0.6934,1.1236,0.91085,0.87607,0.94075,0.58617,1.32609,0.62403,1.1892,0.0016832,0.0016832,0.0016832
18,2085.48,1.25715,0.68341,1.12975,0.91934,0.87127,0.94202,0.60332,1.28928,0.60293,1.17058,0.0016634,0.0016634,0.0016634
19,2198.93,1.24552,0.67103,1.12504,0.92322,0.87371,0.94282,0.58982,1.30364,0.62249,1.17767,0.0016436,0.0016436,0.0016436
20,2314.13,1.24361,0.67739,1.12963,0.93519,0.88688,0.95025,0.59932,1.29391,0.60189,1.17466,0.0016238,0.0016238,0.0016238
21,2428.07,1.23932,0.66979,1.128,0.93893,0.87087,0.95002,0.60214,1.29232,0.59012,1.17503,0.001604,0.001604,0.001604
22,2541.53,1.23593,0.66275,1.12248,0.92963,0.87758,0.94825,0.59993,1.29402,0.60581,1.17092,0.0015842,0.0015842,0.0015842
23,2654.22,1.24115,0.65662,1.12378,0.91898,0.89669,0.95293,0.60379,1.28475,0.60064,1.16936,0.0015644,0.0015644,0.0015644
24,2767.64,1.23332,0.6566,1.11723,0.92046,0.87564,0.94606,0.60826,1.27959,0.59765,1.16822,0.0015446,0.0015446,0.0015446
25,2878.96,1.23357,0.64722,1.11339,0.92937,0.87784,0.9444,0.6085,1.26894,0.59693,1.15696,0.0015248,0.0015248,0.0015248
26,2991.07,1.21933,0.6394,1.10549,0.94003,0.87846,0.9453,0.60792,1.26724,0.57853,1.15749,0.001505,0.001505,0.001505
27,3103.05,1.21776,0.63616,1.10888,0.93491,0.87629,0.95062,0.60941,1.27689,0.57817,1.16374,0.0014852,0.0014852,0.0014852
28,3215.08,1.21676,0.63808,1.10327,0.92555,0.88931,0.94963,0.60795,1.27187,0.58072,1.15111,0.0014654,0.0014654,0.0014654
29,3325.78,1.20223,0.62096,1.09892,0.93242,0.89334,0.95322,0.61427,1.26633,0.56908,1.15723,0.0014456,0.0014456,0.0014456
30,3439.51,1.21048,0.62818,1.107,0.93182,0.89824,0.95458,0.61288,1.27164,0.56055,1.15327,0.0014258,0.0014258,0.0014258
31,3552.02,1.20284,0.61876,1.09734,0.93755,0.88397,0.95507,0.61511,1.26094,0.56235,1.15069,0.001406,0.001406,0.001406
32,3663.96,1.19306,0.61251,1.09457,0.94891,0.87448,0.95265,0.61486,1.26432,0.564,1.14957,0.0013862,0.0013862,0.0013862
33,3776.93,1.19525,0.60992,1.09042,0.9431,0.89721,0.95858,0.62034,1.25859,0.5522,1.15121,0.0013664,0.0013664,0.0013664
34,3887.7,1.19283,0.60742,1.09254,0.93569,0.89127,0.95312,0.6162,1.26615,0.5707,1.1516,0.0013466,0.0013466,0.0013466
35,4000.12,1.19625,0.60476,1.0894,0.93272,0.88787,0.95192,0.62241,1.24915,0.55335,1.15152,0.0013268,0.0013268,0.0013268
36,4111.13,1.17668,0.59566,1.09309,0.93479,0.89282,0.95339,0.61593,1.25901,0.55726,1.15695,0.001307,0.001307,0.001307
37,4223.26,1.16731,0.59402,1.08703,0.93503,0.89592,0.95299,0.6143,1.2618,0.55552,1.15299,0.0012872,0.0012872,0.0012872
